,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_ks_stat,0.2,50,0.236304587,0.231600767,0.170988799,0.165298974,0.173588617,0.172467815,0.176776886,0.228943863,0.226185344,0.17001937,0.164702051,0.1750426,0.17313756,0.17513965,0.232137728,0.223505228,0.225207822,0.226512245,0.172836829,0.173730855
avg_beta_T,0.2,50,1.00516597,0.97221664,0.999599472,1.009681312,1.026302025,1.028247611,,1.021185266,0.999385833,1.000286894,1.015860089,0.995756232,1.01016605,0.991642744,,,,,,
avg_abs_bias,0.2,50,0.404785145,0.390368777,0.393632131,0.400091364,0.402110783,0.421814459,,0.419460621,0.397121551,0.404059166,0.406033662,0.389171801,0.440371843,0.435325176,,,,,,
std_err_beta_T,0.2,50,0.506523993,0.486535503,0.487208303,0.492178097,0.505606723,0.533848819,,0.531076612,0.497862476,0.501327001,0.516556856,0.486359219,0.54923432,0.540633896,,,,,,
power,0.2,50,0.523,0.479,0.516,0.513,0.523,0.58,0.507745267,0.499,0.497,0.507,0.529,0.507,0.448,0.443,0.523,0.515,0.538,0.543,0.479,0.49137931
pct_trt_diff,0.2,50,0.05558,0.01404,0.01652,0.00598,0.01738,0.01632,0.01678,0.05558,0.01304,0.01546,0.00654,0.01778,0.01706,0.01726,0.05532,0.01332,0.01634,0.00596,0.01638,0.0177
res_end_prop_avg,0.2,50,,,,,0.10424,0.10504,0.10352,,,,,0.10592,0.10464,0.10464,,,,,0.10464,0.10484
ssqr_over_sum,0.2,50,,,,,,0.317508538,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,50,,,,,,0.484691721,,,,,,,,,,,,,,
match_corr,0.2,50,,,,,,-0.006352677,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,50,,,,,,0.509944258,,,,,,,,,,,,,,
pct_only_matches,0.2,50,,,,,,0.408,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,100,0.793036049,0.785536559,0.400753824,0.375953219,0.50004716,0.501914536,0.49547608,0.768846019,0.786505662,0.41699708,0.37499336,0.499920901,0.508910125,0.511574497,0.80824479,0.799191763,0.778442704,0.792217705,0.491235646,0.47532943
avg_max_ks_stat,0.05,100,0.164555059,0.164454451,0.119646279,0.118732805,0.117317266,0.116205853,0.116294904,0.162941409,0.163067825,0.120601692,0.119054022,0.11664794,0.116908985,0.116833474,0.164743762,0.160428241,0.163371329,0.162930823,0.115707258,0.115550942
avg_beta_T,0.05,100,0.990464954,0.986895539,0.992716044,0.998224533,0.997948119,0.989098589,,1.007481916,0.990940033,0.986837579,0.996928169,0.999564005,0.981606316,1.009884857,,,,,,
avg_abs_bias,0.05,100,0.267868797,0.285834261,0.26905036,0.281292454,0.273934223,0.27118442,,0.282838332,0.278853225,0.284102975,0.279333889,0.287670874,0.284118337,0.305341579,,,,,,
std_err_beta_T,0.05,100,0.336815989,0.358150522,0.338866739,0.351313868,0.342785026,0.337211727,,0.353360732,0.349229614,0.353687922,0.351615908,0.353782464,0.358668835,0.382479889,,,,,,
power,0.05,100,0.812,0.799,0.818,0.801,0.808,0.828,0.807,0.808,0.807,0.799,0.794,0.8,0.791,0.729,0.795,0.81,0.827,0.788,0.798,0.796796797
pct_trt_diff,0.05,100,0.03798,0.00632,0.0085,0.00296,0.0172,0.01674,0.01707,0.03892,0.00686,0.00779,0.00317,0.01639,0.01715,0.0171,0.04091,0.00666,0.00823,0.0032,0.01785,0.01717
res_end_prop_avg,0.05,100,,,,,0.19228,0.19336,0.19348,,,,,0.19242,0.19168,0.1948,,,,,0.19456,0.19122
