,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_std_diff_bal,0.05,50,0.828526218,0.820956719,0.421268535,0.398669079,0.582871713,0.57949224,0.589145439,0.819447646,0.810969342,0.426319145,0.384905862,0.570415903,0.560851847,0.585004028,0.809539366,0.823127902,0.797838693,0.808493756,0.582538739,0.597678662
avg_max_ks_stat,0.05,50,0.23258324,0.228922553,0.170293402,0.166653596,0.176479454,0.173628622,0.175544082,0.231506794,0.22736258,0.169633515,0.166788077,0.17703227,0.175616096,0.175561646,0.230877903,0.22985388,0.228575791,0.226536026,0.176588301,0.178845749
avg_beta_T,0.05,50,-0.006052693,-0.001574102,-0.033505245,-0.01324082,0.000282206,0.000760434,NA,0.008404606,0.008838151,-0.01369869,-0.004930378,0.004630115,0.002068945,-0.024839792,NA,NA,NA,NA,NA,NA
avg_abs_bias,0.05,50,0.396660663,0.390550168,0.385790504,0.387064278,0.399805366,0.399202563,NA,0.404955468,0.411680578,0.389883445,0.409045149,0.394812463,0.430845997,0.464783793,NA,NA,NA,NA,NA,NA
std_err_beta_T,0.05,50,0.493162129,0.493425538,0.487801199,0.485967421,0.501463462,0.499244204,NA,0.512969448,0.51010944,0.489244216,0.505258465,0.484411028,0.53489185,0.573738466,NA,NA,NA,NA,NA,NA
power,0.05,50,0.048,0.049,0.048,0.049,0.053,0.069,0.071285141,0.06,0.049,0.051,0.049,0.042,0.074,0.296,0.042,0.052,0.048,0.067,0.05,0.048
pct_trt_diff,0.05,50,0.05748,0.01274,0.0155,0.00692,0.0317,0.03206,0.03166,0.05522,0.01246,0.01544,0.00586,0.03212,0.02974,0.03156,0.05682,0.01298,0.01586,0.00562,0.03034,0.03096
res_end_prop_avg,0.05,50,NA,NA,NA,NA,0.31228,0.31572,0.31076,NA,NA,NA,NA,0.31684,0.31692,0.31388,NA,NA,NA,NA,0.314,0.31536
ssqr_over_sum,0.05,50,NA,NA,NA,NA,NA,0.337497575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssqr_eq_ssqd_pval,0.05,50,NA,NA,NA,NA,NA,0.507432903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
match_corr,0.05,50,NA,NA,NA,NA,NA,-0.006504695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corr_eq_zero_pval,0.05,50,NA,NA,NA,NA,NA,0.507655894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pct_only_matches,0.05,50,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avg_max_std_diff_bal,0.075,50,0.828526218,0.820956719,0.421268535,0.398669079,0.526999287,0.538651966,0.535198442,0.819447646,0.810969342,0.426319145,0.384905862,0.548715796,0.539548424,0.535342017,0.809539366,0.823127902,0.797838693,0.808493756,0.533365376,0.535270474
avg_max_ks_stat,0.075,50,0.23258324,0.228922553,0.170293402,0.166653596,0.173202943,0.172107725,0.172752376,0.231506794,0.22736258,0.169633515,0.166788077,0.171905256,0.170364397,0.173645311,0.230877903,0.22985388,0.228575791,0.226536026,0.171493429,0.17176558
avg_beta_T,0.075,50,-0.006052693,-0.001574102,-0.033505245,-0.01324082,0.002665265,-0.004990185,NA,0.008404606,0.008838151,-0.01369869,-0.004930378,0.009251881,0.007258986,0.016866178,NA,NA,NA,NA,NA,NA
avg_abs_bias,0.075,50,0.396660663,0.390550168,0.385790504,0.387064278,0.376719491,0.408100235,NA,0.404955468,0.411680578,0.389883445,0.409045149,0.412078238,0.445015671,0.451244423,NA,NA,NA,NA,NA,NA
std_err_beta_T,0.075,50,0.493162129,0.493425538,0.487801199,0.485967421,0.475279884,0.517517395,NA,0.512969448,0.51010944,0.489244216,0.505258465,0.509632051,0.558262599,0.564914648,NA,NA,NA,NA,NA,NA
power,0.075,50,0.048,0.049,0.048,0.049,0.046,0.086,0.079055441,0.06,0.049,0.051,0.049,0.051,0.085,0.328,0.042,0.052,0.048,0.067,0.048,0.051987768
pct_trt_diff,0.075,50,0.05748,0.01274,0.0155,0.00692,0.02666,0.02726,0.0273,0.05522,0.01246,0.01544,0.00586,0.02636,0.0261,0.02678,0.05682,0.01298,0.01586,0.00562,0.02612,0.02506
res_end_prop_avg,0.075,50,NA,NA,NA,NA,0.23536,0.2354,0.2378,NA,NA,NA,NA,0.23312,0.2366,0.23672,NA,NA,NA,NA,0.23672,0.2336
ssqr_over_sum,0.075,50,NA,NA,NA,NA,NA,0.333910273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssqr_eq_ssqd_pval,0.075,50,NA,NA,NA,NA,NA,0.49897866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
match_corr,0.075,50,NA,NA,NA,NA,NA,0.006173952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corr_eq_zero_pval,0.075,50,NA,NA,NA,NA,NA,0.495392484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pct_only_matches,0.075,50,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avg_max_std_diff_bal,0.1,50,0.828526218,0.820956719,0.421268535,0.398669079,0.506777276,0.510435583,0.521840048,0.819447646,0.810969342,0.426319145,0.384905862,0.499047023,0.517751441,0.510783299,0.809539366,0.823127902,0.797838693,0.808493756,0.509883959,0.517410397
avg_max_ks_stat,0.1,50,0.23258324,0.228922553,0.170293402,0.166653596,0.170614378,0.170697487,0.174156518,0.231506794,0.22736258,0.169633515,0.166788077,0.170738911,0.171421028,0.171342516,0.230877903,0.22985388,0.228575791,0.226536026,0.17250176,0.172117671
avg_beta_T,0.1,50,-0.006052693,-0.001574102,-0.033505245,-0.01324082,-0.000280882,-0.008810556,NA,0.008404606,0.008838151,-0.01369869,-0.004930378,0.003993428,0.047479329,-0.021917777,NA,NA,NA,NA,NA,NA
avg_abs_bias,0.1,50,0.396660663,0.390550168,0.385790504,0.387064278,0.391063765,0.405539359,NA,0.404955468,0.411680578,0.389883445,0.409045149,0.392604815,0.427155271,0.421157566,NA,NA,NA,NA,NA,NA
std_err_beta_T,0.1,50,0.493162129,0.493425538,0.487801199,0.485967421,0.49246845,0.50903588,NA,0.512969448,0.51010944,0.489244216,0.505258465,0.492141974,0.531429418,0.529888099,NA,NA,NA,NA,NA,NA
power,0.1,50,0.048,0.049,0.048,0.049,0.054,0.073,0.064618644,0.06,0.049,0.051,0.049,0.047,0.068,0.313,0.042,0.052,0.048,0.067,0.057,0.043803419
pct_trt_diff,0.1,50,0.05748,0.01274,0.0155,0.00692,0.02374,0.02318,0.02348,0.05522,0.01246,0.01544,0.00586,0.02358,0.0241,0.0247,0.05682,0.01298,0.01586,0.00562,0.0247,0.02412
res_end_prop_avg,0.1,50,NA,NA,NA,NA,0.1916,0.18992,0.19248,NA,NA,NA,NA,0.18916,0.19148,0.19044,NA,NA,NA,NA,0.1916,0.1902
ssqr_over_sum,0.1,50,NA,NA,NA,NA,NA,0.323410411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssqr_eq_ssqd_pval,0.1,50,NA,NA,NA,NA,NA,0.510195636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
match_corr,0.1,50,NA,NA,NA,NA,NA,-0.007798998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corr_eq_zero_pval,0.1,50,NA,NA,NA,NA,NA,0.50856327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pct_only_matches,0.1,50,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avg_max_std_diff_bal,0.2,50,0.828526218,0.820956719,0.421268535,0.398669079,0.463961031,0.466633133,0.457439296,0.819447646,0.810969342,0.426319145,0.384905862,0.490741593,0.437236042,0.458139093,0.809539366,0.823127902,0.797838693,0.808493756,0.446101893,0.466315375
avg_max_ks_stat,0.2,50,0.23258324,0.228922553,0.170293402,0.166653596,0.17674048,0.175183054,0.173416262,0.231506794,0.22736258,0.169633515,0.166788077,0.178356467,0.174286368,0.175630093,0.230877903,0.22985388,0.228575791,0.226536026,0.174317827,0.176118801
avg_beta_T,0.2,50,-0.006052693,-0.001574102,-0.033505245,-0.01324082,-0.064596891,0.034016564,NA,0.008404606,0.008838151,-0.01369869,-0.004930378,0.00554364,-0.026193063,-0.004028488,NA,NA,NA,NA,NA,NA
avg_abs_bias,0.2,50,0.396660663,0.390550168,0.385790504,0.387064278,0.403067081,0.444359783,NA,0.404955468,0.411680578,0.389883445,0.409045149,0.380461192,0.450383405,0.399919253,NA,NA,NA,NA,NA,NA
std_err_beta_T,0.2,50,0.493162129,0.493425538,0.487801199,0.485967421,0.503570096,0.56193023,NA,0.512969448,0.51010944,0.489244216,0.505258465,0.482926277,0.56305513,0.503009478,NA,NA,NA,NA,NA,NA
power,0.2,50,0.048,0.049,0.048,0.049,0.063,0.097,0.092465753,0.06,0.049,0.051,0.049,0.055,0.058,0.177,0.042,0.052,0.048,0.067,0.051,0.047535211
pct_trt_diff,0.2,50,0.05748,0.01274,0.0155,0.00692,0.01624,0.0171,0.01662,0.05522,0.01246,0.01544,0.00586,0.0176,0.01662,0.01702,0.05682,0.01298,0.01586,0.00562,0.01704,0.01732
res_end_prop_avg,0.2,50,NA,NA,NA,NA,0.1038,0.10728,0.10336,NA,NA,NA,NA,0.10644,0.10428,0.10556,NA,NA,NA,NA,0.10492,0.10504
ssqr_over_sum,0.2,50,NA,NA,NA,NA,NA,0.305849786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssqr_eq_ssqd_pval,0.2,50,NA,NA,NA,NA,NA,0.508293987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
match_corr,0.2,50,NA,NA,NA,NA,NA,-0.000834189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corr_eq_zero_pval,0.2,50,NA,NA,NA,NA,NA,0.500903129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pct_only_matches,0.2,50,NA,NA,NA,NA,NA,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avg_max_std_diff_bal,0.05,100,0.792154227,0.785751071,0.397784078,0.38803789,0.484680647,0.494942981,0.513542383,0.811506267,0.817718912,0.384993899,0.378710634,0.502531934,0.500040806,0.494838069,0.822552541,0.805184761,0.81070879,0.807601675,0.488060893,0.499790113
avg_max_ks_stat,0.05,100,0.165974962,0.163490499,0.121534519,0.119622381,0.11453586,0.117327324,0.116746271,0.168936599,0.164037781,0.120006218,0.118711702,0.116550775,0.117141225,0.116223069,0.166026153,0.164069891,0.164269516,0.163811588,0.117041653,0.116742514
avg_beta_T,0.05,100,-0.006148718,0.01783235,-0.000899555,-0.003736218,0.00313066,0.000552094,NA,0.002581006,0.012184719,0.025737527,0.01934291,0.000186932,-0.005832374,-0.000238889,NA,NA,NA,NA,NA,NA
avg_abs_bias,0.05,100,0.269099489,0.27384566,0.293702968,0.279125773,0.275983899,0.28525614,NA,0.297201153,0.278033102,0.27096999,0.268592641,0.274481984,0.294318576,0.304750526,NA,NA,NA,NA,NA,NA
std_err_beta_T,0.05,100,0.342664853,0.340729782,0.363445242,0.345413513,0.345472151,0.353139599,NA,0.372693633,0.346209729,0.334732284,0.33784548,0.347781837,0.368053991,0.383574072,NA,NA,NA,NA,NA,NA
power,0.05,100,0.049,0.035,0.056,0.046,0.038,0.064,0.064064064,0.066,0.04,0.038,0.041,0.051,0.061,0.41,0.052,0.055,0.051,0.04,0.055,0.054
pct_trt_diff,0.05,100,0.04138,0.00684,0.00787,0.00304,0.01734,0.01723,0.017,0.0391,0.00639,0.00748,0.003,0.01735,0.01702,0.0182,0.04037,0.00653,0.00798,0.00281,0.0174,0.017
