,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_std_diff_bal,0.05,50,0.778798892,0.799328295,0.420630399,0.402991459,0.557826057,0.569760469,0.557637765,0.770465228,0.820800938,0.41063025,0.385486234,0.590945213,0.577408413,0.580474363,0.814981929,0.811125428,0.840952706,0.787662919,0.581734532,0.579025496
avg_max_ks_stat,0.05,50,0.229408243,0.226140788,0.172769215,0.166541667,0.174779707,0.174415008,0.1768811,0.227897329,0.228963382,0.172707415,0.164945531,0.177740425,0.175786362,0.175955763,0.233159832,0.22559943,0.23073578,0.226552812,0.175127518,0.175293342
avg_beta_T,0.05,50,1.015354147,0.961075548,0.967881579,1.010728126,0.991976593,0.94992899,,0.99420897,1.023326827,0.987329172,0.999977497,0.983510752,0.985023489,0.989396397,,,,,,
avg_abs_bias,0.05,50,0.757760083,0.723394464,0.517022862,0.504663947,0.610630783,0.46651304,,0.398406615,0.397550836,0.358899669,0.381151886,0.41206577,0.427801967,0.479014192,,,,,,
std_err_beta_T,0.05,50,0.963863257,0.910113694,0.651946451,0.630402463,0.757778707,0.58712859,,0.496084764,0.504862094,0.452300709,0.483443641,0.515126681,0.539865118,0.609647968,,,,,,
power,0.05,50,0.172,0.153,0.086,0.086,0.122,0.405,0.396793587,0.493,0.518,0.497,0.503,0.496,0.495,0.328,0.186,0.176,0.096,0.091,0.281,0.366197183
pct_trt_diff,0.05,50,0.05744,0.0139,0.0156,0.00608,0.0317,0.03046,0.03066,0.05368,0.01362,0.01564,0.00614,0.0306,0.031,0.0313,0.05466,0.01348,0.01618,0.00588,0.03124,0.0298
res_end_prop_avg,0.05,50,,,,,0.31644,0.31528,0.31344,,,,,0.31,0.31008,0.3162,,,,,0.31468,0.30948
ssqr_over_sum,0.05,50,,,,,,0.714892797,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,50,,,,,,0.01341621,,,,,,,,,,,,,,
match_corr,0.05,50,,,,,,0.633655958,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,50,,,,,,0.018554199,,,,,,,,,,,,,,
pct_only_matches,0.05,50,,,,,,0.002,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,50,0.778798892,0.799328295,0.420630399,0.402991459,0.546700162,0.54090765,0.560233735,0.770465228,0.820800938,0.41063025,0.385486234,0.516673568,0.549061164,0.554805666,0.814981929,0.811125428,0.840952706,0.787662919,0.526184582,0.546531606
avg_max_ks_stat,0.075,50,0.229408243,0.226140788,0.172769215,0.166541667,0.174015657,0.173334541,0.173562491,0.227897329,0.228963382,0.172707415,0.164945531,0.171690353,0.173931898,0.174046163,0.233159832,0.22559943,0.23073578,0.226552812,0.171417982,0.172778787
avg_beta_T,0.075,50,1.015354147,0.961075548,0.967881579,1.010728126,1.004527312,0.974716271,,0.99420897,1.023326827,0.987329172,0.999977497,1.005684601,1.0136835,0.976204928,,,,,,
avg_abs_bias,0.075,50,0.757760083,0.723394464,0.517022862,0.504663947,0.590015921,0.45865109,,0.398406615,0.397550836,0.358899669,0.381151886,0.388256019,0.436060582,0.49447687,,,,,,
std_err_beta_T,0.075,50,0.963863257,0.910113694,0.651946451,0.630402463,0.732225219,0.575887989,,0.496084764,0.504862094,0.452300709,0.483443641,0.481052764,0.551307181,0.617195716,,,,,,
