"","alpha","n","van_bau","efron_bau","strat_bau","ps_min_bau","pm_bau","pm_kk","pm_kk_pbs","van_linear","efron_lin","strat_lin","ps_min_lin","pm_lin","pm_lin_kk","pm_lin_kk_pbs","van_exact","efron_exact","strat_exact","ps_min_exact","pm_exact","pm_kk_exact"
"avg_max_ks_stat",0.2,50,0.227193173858254,0.229752547470735,0.170462162298249,0.165723076923077,0.175526578621001,0.175198998706607,0.173795183873542,0.232406814995483,0.234880658925102,0.169845237210455,0.167049594326768,0.173638140292158,0.176984145889648,0.173178454472675,0.231503483457577,0.224557173356183,0.225556013246013,0.226761794871795,0.172693558623896,0.172682474313126
"avg_beta_T",0.2,50,-0.022210599445213,-0.000988341513008455,-0.0390348265382579,-0.0364555249549262,0.00977813101459236,-0.00841828940853021,NA,0.0162337590707082,0.0139556277514926,-0.039124357651597,0.0177169553890817,-0.00566685153313382,-0.00168207245067294,0.00321796400261077,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.2,50,0.917921863575347,0.894853476555499,0.6438134332768,0.70555416451465,0.669222495535835,0.562587148767073,NA,0.661549979994564,0.646426426194861,0.589111526416253,0.609632410966995,0.520474170642105,0.520376051597227,0.541802676838124,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.2,50,1.15091280010223,1.11994869960062,0.812265421812071,0.890503993235331,0.834400832131345,0.719256857292421,NA,0.829185061977469,0.808963281572657,0.73704089746154,0.765844676068029,0.66021654925347,0.67791711132836,0.676061961444874,NA,NA,NA,NA,NA,NA
"power",0.2,50,0.058,0.045,0.002,0.009,0.007,0.081,0.0826580226904376,0.059,0.044,0.036,0.036,0.021,0.068,0.226,0.063,0.046,0.006,0.005,0.04,0.0494037478705281
"pct_trt_diff",0.2,50,0.0558,0.01348,0.01564,0.00606000000000001,0.01728,0.01738,0.0159,0.05476,0.01312,0.01524,0.00618000000000001,0.0164,0.01764,0.01772,0.05738,0.01362,0.01548,0.00630000000000001,0.01754,0.01704
"res_end_prop_avg",0.2,50,NA,NA,NA,NA,0.10484,0.10468,0.107,NA,NA,NA,NA,0.10444,0.10444,0.10828,NA,NA,NA,NA,0.1044,0.1044
"ssqr_over_sum",0.2,50,NA,NA,NA,NA,NA,0.721749657617989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.2,50,NA,NA,NA,NA,NA,0.0528816887333376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"match_corr",0.2,50,NA,NA,NA,NA,NA,0.638913225151597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corr_eq_zero_pval",0.2,50,NA,NA,NA,NA,NA,0.00596037944049577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
